#?rerun filter ra dec type sh sw name
pdr3_wide HSC-G 188.94023763564135 -2.057305655970944 coadd 16asec 16asec ra_188.94023763564135_dec_-2.057305655970944
pdr3_wide HSC-G 188.94023763564135 -2.0483582875498914 coadd 16asec 16asec ra_188.94023763564135_dec_-2.0483582875498914
pdr3_wide HSC-G 188.94023763564135 -2.039410919128839 coadd 16asec 16asec ra_188.94023763564135_dec_-2.039410919128839
pdr3_wide HSC-G 188.94023763564135 -2.030463550707786 coadd 16asec 16asec ra_188.94023763564135_dec_-2.030463550707786
pdr3_wide HSC-G 188.94023763564135 -2.021516182286734 coadd 16asec 16asec ra_188.94023763564135_dec_-2.021516182286734
pdr3_wide HSC-G 188.94023763564135 -2.012568813865681 coadd 16asec 16asec ra_188.94023763564135_dec_-2.012568813865681
pdr3_wide HSC-G 188.94023763564135 -2.003621445444628 coadd 16asec 16asec ra_188.94023763564135_dec_-2.003621445444628
pdr3_wide HSC-G 188.94023763564135 -1.9946740770235758 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9946740770235758
pdr3_wide HSC-G 188.94023763564135 -1.9857267086025232 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9857267086025232
pdr3_wide HSC-G 188.94023763564135 -1.9767793401814704 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9767793401814704
pdr3_wide HSC-G 188.94023763564135 -1.9678319717604178 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9678319717604178
pdr3_wide HSC-G 188.94023763564135 -1.9588846033393652 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9588846033393652
pdr3_wide HSC-G 188.94023763564135 -1.9499372349183126 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9499372349183126
pdr3_wide HSC-G 188.94023763564135 -1.94098986649726 coadd 16asec 16asec ra_188.94023763564135_dec_-1.94098986649726
pdr3_wide HSC-G 188.94023763564135 -1.9320424980762074 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9320424980762074
pdr3_wide HSC-G 188.94023763564135 -1.9230951296551546 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9230951296551546
pdr3_wide HSC-G 188.94023763564135 -1.914147761234102 coadd 16asec 16asec ra_188.94023763564135_dec_-1.914147761234102
pdr3_wide HSC-G 188.94023763564135 -1.9052003928130494 coadd 16asec 16asec ra_188.94023763564135_dec_-1.9052003928130494
pdr3_wide HSC-G 188.94023763564135 -1.8962530243919968 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8962530243919968
pdr3_wide HSC-G 188.94023763564135 -1.8873056559709442 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8873056559709442
pdr3_wide HSC-G 188.94023763564135 -1.8783582875498914 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8783582875498914
pdr3_wide HSC-G 188.94023763564135 -1.8694109191288388 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8694109191288388
pdr3_wide HSC-G 188.94023763564135 -1.8604635507077862 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8604635507077862
pdr3_wide HSC-G 188.94023763564135 -1.8515161822867336 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8515161822867336
pdr3_wide HSC-G 188.94023763564135 -1.842568813865681 coadd 16asec 16asec ra_188.94023763564135_dec_-1.842568813865681
pdr3_wide HSC-G 188.94023763564135 -1.8336214454446282 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8336214454446282
pdr3_wide HSC-G 188.94023763564135 -1.8246740770235756 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8246740770235756
pdr3_wide HSC-G 188.94023763564135 -1.815726708602523 coadd 16asec 16asec ra_188.94023763564135_dec_-1.815726708602523
pdr3_wide HSC-G 188.94023763564135 -1.8067793401814705 coadd 16asec 16asec ra_188.94023763564135_dec_-1.8067793401814705
pdr3_wide HSC-G 188.94023763564135 -1.7978319717604179 coadd 16asec 16asec ra_188.94023763564135_dec_-1.7978319717604179
pdr3_wide HSC-G 188.94023763564135 -1.788884603339365 coadd 16asec 16asec ra_188.94023763564135_dec_-1.788884603339365
pdr3_wide HSC-G 188.94023763564135 -1.7799372349183127 coadd 16asec 16asec ra_188.94023763564135_dec_-1.7799372349183127
