#?rerun filter ra dec type sh sw name
pdr3_wide HSC-I 182.10316426 30.98696395 coadd 8asec 8asec GB6J120823+305905
pdr3_wide HSC-I 182.23168551 46.68716521 coadd 8asec 8asec GB6J120856+464112
pdr3_wide HSC-I 182.53317556 35.87760573 coadd 8asec 8asec GB6J121008+355224
pdr3_wide HSC-I 182.93436093 1.42046716 coadd 8asec 8asec GB6J121143+012544
pdr3_wide HSC-I 183.37198367 50.7415082 coadd 8asec 8asec GB6J121331+504446
pdr3_wide HSC-I 183.52298799 6.24690263 coadd 8asec 8asec GB6J121405+061516
pdr3_wide HSC-I 183.79573656 7.53462371 coadd 8asec 8asec GB6J121512+073220
pdr3_wide HSC-I 184.08314485 15.9049297 coadd 8asec 8asec GB6J121621+155419
pdr3_wide HSC-I 184.09870351 52.7333153 coadd 8asec 8asec GB6J121620+524321
pdr3_wide HSC-I 184.61575435 1.04371346 coadd 8asec 8asec GB6J121827+010230
pdr3_wide HSC-I 184.94850239 30.3390818 coadd 8asec 8asec GB6J121947+302030
pdr3_wide HSC-I 185.15170954 63.69567354 coadd 8asec 8asec GB6J122039+634059
pdr3_wide HSC-I 185.5272559 13.74887024 coadd 8asec 8asec GB6J122206+134456
pdr3_wide HSC-I 185.53871556 58.23931491 coadd 8asec 8asec GB6J122208+581427
pdr3_wide HSC-I 186.30456539 32.23377344 coadd 8asec 8asec GB6J122513+321406
pdr3_wide HSC-I 186.59374831 64.10613005 coadd 8asec 8asec GB6J122621+640637
pdr3_wide HSC-I 187.54937575 47.00631133 coadd 8asec 8asec GB6J123012+470031
pdr3_wide HSC-I 187.73360406 65.83246337 coadd 8asec 8asec GB6J123059+654952
pdr3_wide HSC-I 187.88080287 64.23842311 coadd 8asec 8asec GB6J123132+641421
pdr3_wide HSC-I 188.56724763 50.90686911 coadd 8asec 8asec GB6J123417+505441
pdr3_wide HSC-I 190.39620085 28.8434735 coadd 8asec 8asec GB6J124136+285035
pdr3_wide HSC-I 190.39977062 16.34269323 coadd 8asec 8asec GB6J124135+162046
pdr3_wide HSC-I 190.53077564 50.36294941 coadd 8asec 8asec GB6J124207+502127
pdr3_wide HSC-I 191.64064523 11.89663036 coadd 8asec 8asec GB6J124635+115355
pdr3_wide HSC-I 191.79035042 32.78473855 coadd 8asec 8asec GB6J124708+324701
pdr3_wide HSC-I 191.88883258 67.38790576 coadd 8asec 8asec GB6J124732+672322
pdr3_wide HSC-I 192.61426883 0.22933425 coadd 8asec 8asec GB6J125026+001323
pdr3_wide HSC-I 193.44586191 3.44177171 coadd 8asec 8asec GB6J125345+032638
pdr3_wide HSC-I 193.63095848 26.34461126 coadd 8asec 8asec GB6J125431+262027
pdr3_wide HSC-I 193.63858471 18.93393655 coadd 8asec 8asec GB6J125433+185557
pdr3_wide HSC-I 193.65734458 53.08999429 coadd 8asec 8asec GB6J125436+530513
pdr3_wide HSC-I 193.75016899 25.54221807 coadd 8asec 8asec GB6J125459+253159
pdr3_wide HSC-I 196.58019436 11.22771457 coadd 8asec 8asec GB6J130619+111346
pdr3_wide HSC-I 196.61826165 19.97852052 coadd 8asec 8asec GB6J130628+195856
pdr3_wide HSC-I 197.15796419 43.73753146 coadd 8asec 8asec GB6J130836+434405
pdr3_wide HSC-I 197.26860121 10.49314095 coadd 8asec 8asec GB6J130905+102938
pdr3_wide HSC-I 198.13062921 21.26206516 coadd 8asec 8asec GB6J131231+211540
pdr3_wide HSC-I 198.6028277 62.32939608 coadd 8asec 8asec GB6J131430+621945
pdr3_wide HSC-I 198.76463579 24.61883223 coadd 8asec 8asec GB6J131459+243611
pdr3_wide HSC-I 199.41333169 41.26266573 coadd 8asec 8asec GB6J131739+411538
